fincampo,C's [40dB],C's [Celeste Tel],C's [CIS],C's [DYM],C's [GAD3],C's [GESOP],C's [IMOP Insights],C's [Invymark],C's [Ipsos],C's [Metroscopia],C's [NC Report],C's [Sigma Dos],C's [Simple Lógica],C's [Sociométrica],Más País [40dB],Más País [Celeste Tel],Más País [CIS],Más País [DYM],Más País [GAD3],Más País [GESOP],Más País [IMOP Insights],Más País [Invymark],Más País [Ipsos],Más País [Metroscopia],Más País [NC Report],Más País [Sigma Dos],Más País [Simple Lógica],Más País [Sociométrica],PP [40dB],PP [Celeste Tel],PP [CIS],PP [DYM],PP [GAD3],PP [GESOP],PP [IMOP Insights],PP [Invymark],PP [Ipsos],PP [Metroscopia],PP [NC Report],PP [Sigma Dos],PP [Simple Lógica],PP [Sociométrica],PSOE [40dB],PSOE [Celeste Tel],PSOE [CIS],PSOE [DYM],PSOE [GAD3],PSOE [GESOP],PSOE [IMOP Insights],PSOE [Invymark],PSOE [Ipsos],PSOE [Metroscopia],PSOE [NC Report],PSOE [Sigma Dos],PSOE [Simple Lógica],PSOE [Sociométrica],UP [40dB],UP [Celeste Tel],UP [CIS],UP [DYM],UP [GAD3],UP [GESOP],UP [IMOP Insights],UP [Invymark],UP [Ipsos],UP [Metroscopia],UP [NC Report],UP [Sigma Dos],UP [Simple Lógica],UP [Sociométrica],Vox [40dB],Vox [Celeste Tel],Vox [CIS],Vox [DYM],Vox [GAD3],Vox [GESOP],Vox [IMOP Insights],Vox [Invymark],Vox [Ipsos],Vox [Metroscopia],Vox [NC Report],Vox [Sigma Dos],Vox [Simple Lógica],Vox [Sociométrica],fincampo_match,C's (media),Más País (media),PP (media),PSOE (media),UP (media),Vox (media),PSOE (28-A),PP (28-A),C's (28-A),UP (28-A),Vox (28-A)
2019-11-02,null,null,null,null,8,null,10.1,null,10,null,8.8,8.9,null,8.5,null,null,null,null,2.8,null,3.2,null,4.7,null,3.5,4,null,3.9,null,null,null,null,21.6,null,19.6,null,19.4,null,22.7,20.3,null,20.6,null,null,null,null,27.4,null,28,null,26,null,27.3,27.9,null,25.1,null,null,null,null,11.2,null,11.5,null,13,null,12.1,13.5,null,12.9,null,null,null,null,14.9,null,13.9,null,14,null,12.2,13.2,null,14.3,2019-11-02,9.02876667451409,3.595765158745299,20.685328949344957,27.070425254559222,12.38980650872623,13.648165226231871,null,null,null,null,null
2019-10-31,null,null,null,null,null,8,null,9.9,null,null,null,null,null,null,null,null,null,null,null,2.6,null,3.8,null,null,null,null,null,null,null,null,null,null,null,19.5,null,22,null,null,null,null,null,null,null,null,null,null,null,27.7,null,27.9,null,null,null,null,null,null,null,null,null,null,null,13.4,null,11.8,null,null,null,null,null,null,null,null,null,null,null,14.2,null,10.5,null,null,null,null,null,null,2019-10-31,9.02876667451409,3.595765158745299,20.685328949344957,27.070425254559222,12.38980650872623,13.648165226231871,null,null,null,null,null
2019-10-30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-10-30,9.060282952026556,3.7266325831964195,20.62733194644906,27.14205428187424,12.566523563532286,13.26201625256476,null,null,null,null,null
2019-10-29,8.3,null,null,10,null,null,null,null,null,null,null,8.9,null,null,4.4,null,null,3.3,null,null,null,null,null,null,null,3.9,null,null,21.2,null,null,19.4,null,null,null,null,null,null,null,20.6,null,null,27.3,null,null,26.8,null,null,null,null,null,null,null,27.5,null,null,12.4,null,null,12.5,null,null,null,null,null,null,null,13.5,null,null,13.7,null,null,13.6,null,null,null,null,null,null,null,13.4,null,null,2019-10-29,9.060282952026556,3.7266325831964195,20.62733194644906,27.14205428187424,12.566523563532286,13.26201625256476,null,null,null,null,null
2019-10-28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2019-10-28,9.093081261790767,3.876387126757537,20.78686400077344,27.134237617365162,12.658225767677601,12.879357421536346,null,null,null,null,null
2019-10-26,null,null,null,null,null,null,null,null,null,null,null,null,null,9.3,null,null,null,null,null,null,null,null,null,null,null,null,null,5.1,null,null,null,null,null,null,null,null,null,null,null,null,null,21,null,null,null,null,null,null,null,null,null,null,null,null,null,25.5,null,null,null,null,null,null,null,null,null,null,null,null,null,12.2,null,null,null,null,null,null,null,null,null,null,null,null,null,12.2,2019-10-26,9.101642796738036,4.055173019763256,21.20321778830327,27.00702863712342,12.694519851750869,12.540644742993129,null,null,null,null,null
2019-10-25,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,null,null,null,null,null,null,null,null,4.3,null,null,null,null,null,null,null,null,null,null,null,null,null,23,null,null,null,null,null,null,null,null,null,null,null,null,null,27.5,null,null,null,null,null,null,null,null,null,null,null,null,null,12.1,null,null,null,null,null,null,null,null,null,null,null,null,null,11.3,null,null,null,2019-10-25,9.101642796738036,4.055173019763256,21.20321778830327,27.00702863712342,12.694519851750869,12.540644742993129,null,null,null,null,null
2019-10-24,null,10,null,null,8.9,null,null,null,null,null,null,8.6,null,null,null,4.4,null,null,2.8,null,null,null,null,null,null,4,null,null,null,22.2,null,null,21.1,null,null,null,null,null,null,20.8,null,null,null,27.7,null,null,27.3,null,null,null,null,null,null,27,null,null,null,12.9,null,null,12.7,null,null,null,null,null,null,13.1,null,null,null,10.5,null,null,13.5,null,null,null,null,null,null,13,null,null,2019-10-24,9.05820770089745,4.1509300792286234,21.564001684876136,27.084953011580737,12.610705023093569,12.21223490918402,null,null,null,null,null
2019-10-22,null,null,null,null,null,null,null,null,null,null,null,8.8,null,null,null,null,null,null,null,null,null,null,null,null,null,4.5,null,null,null,null,null,null,null,null,null,null,null,null,null,21.4,null,null,null,null,null,null,null,null,null,null,null,null,null,27.3,null,null,null,null,null,null,null,null,null,null,null,null,null,12.7,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,2019-10-22,9.251362630768364,4.2602990730087145,21.791455870879243,27.191033649438168,12.441005788173369,11.767681298400749,null,null,null,null,null
2019-10-19,null,null,null,null,8.3,null,null,null,null,null,null,9.6,null,null,null,null,null,null,3.7,null,null,null,null,null,null,4.6,null,null,null,null,null,null,23,null,null,null,null,null,null,21,null,null,null,null,null,null,28.7,null,null,null,null,null,null,27,null,null,null,null,null,null,11.2,null,null,null,null,null,null,12.5,null,null,null,null,null,null,11.9,null,null,null,null,null,null,11.5,null,null,2019-10-19,9.584572413403402,4.364156556621462,21.88083591409663,27.316821864620533,12.2781889211126,11.277124037932984,null,null,null,null,null
