Nombre y Apellidos / Izen-abizenak,Vecindad / Non bizi zen,Lugar Muerte / Non hil zuten,Fecha / Data,Modo / Nola hil zuten
"Abad Angulo, Florentino",,,,Muerto frente / Frontean hila
"Abad Fernandez, Jesus",Balmaseda,Prision de Astorga,1939-09-28,Muerto prisión / Espetxean hila
"Abad Huerta, Victor",Burgos,Getxo,1937-04-08,Muerto frente / Frontean hila
"Abad Ruiz, Luis",Bilbo,Larrauri,1937-05-14,Muerto frente / Frontean hila
"Abad Torre, Francisco",,,,Muerto frente / Frontean hila
"Abad Torres, Mariano",Santurtzi,Legutio,1936-12-02,Muerto frente / Frontean hila
"Abadia Anaut, Vicente",Isaba,,,Muerto frente / Frontean hila
"Abaitua Arizmendi, Antonio",,,,Muerto frente / Frontean hila
"Abaitua Arizmendi, Severiano",,,,Muerto frente / Frontean hila
"Abaitua Perez, Pedro Jose Luis",Gasteiz,Azazeta,1937-04-01,Fusilado / Fusilatua
"Abaitua Ugalde, Tomas",Bilbo,Bilbo,1937-09-04,Fusilado / Fusilatua
"Abajo Alday, Bernardo",,Santo Domingo,1937-06-13,Muerto frente / Frontean hila
"Abalde Garcia, Angel",Donostia,Asturias,1937-02-23,Muerto frente / Frontean hila
"Abalde Garcia, Francisco",Donostia,Donostia,1938-10-25,Fusilado / Fusilatua
"Abalos Bolivar, Leoncio",,,,Muerto frente / Frontean hila
"Abalos Ugarte, Jose",,Bilbo,1937-06-20,Muerto frente / Frontean hila
"Abarrategui Abarrategui, Domingo",Arrasate,Aretxabaleta,,Muerto frente / Frontean hila
"Abarrategui Abarrategui, Gregorio",Arrasate,Asturias,1937-02-23,Muerto frente / Frontean hila
"Abarrategui Abarrategui, Mateo",Arrasate,Durango,1937-04-27,Muerto frente / Frontean hila
"Abarrategui Orue, Enrique",Muskiz,Sollube,1937-05-13,Muerto frente / Frontean hila
"Abascal Gabilondo, Maria",Elgoibar,Gernika,1937-04-26,Bombardeo / Bonbardaketan hila
"Abascal Laza, Bautista",Bilbo,Bilbo,1937-12-16,Fusilado / Fusilatua
"Abascal Nuñez, Juana",Bilbo,Derio,1938-12-17,Fusilado / Fusilatua
"Abascal Pescador, Felipe",Donostia,Donostia,1938-05-25,Fusilado / Fusilatua
"Abascal Saldamando, Angel",,,,Muerto frente / Frontean hila
"Abascal Trueba, Pedro",Arteaga,Bilbo,1937-12-13,Fusilado / Fusilatua
"Abasolo Goicoechea, Jose Luis",Castillo-Elejabeitia,,1937-04-03,Muerto frente / Frontean hila
"Abasolo Goicoechea, Victor",Castillo-Elejabietia,,1937-04-03,Muerto frente / Frontean hila
"Abasolo Gordibil, Miren",Gasteiz,Beasain,1936-07-24,Bombardeo / Bonbardaketan hila
"Abasolo Oribe, Benito",Donostia,Donostia,1938-08-13,Fusilado / Fusilatua
"Abejon Ruiz, Manuel",Sestao,Baranbio,1936-12-10,Muerto frente / Frontean hila
"Abel Barañano, Antonio",Bilbo,Legutio,1936-12-02,Muerto frente / Frontean hila
"Abellanal Monariz, Lorenzo",,Zornotza,1937-05-16,Muerto frente / Frontean hila
"Abelleira Blanco, Ramon",Erandio,Legutio,1936-12-05,Muerto frente / Frontean hila
"Abendaño Iturriaga, Jesus",Dima,Dima,1937-06-19,Otras circunstancias / Beste batzuk
"Aberasturi Goti, Julia",Bilbo,Bilbo,1937-04-22,Bombardeo / Bonbardaketan hila
"Aberasturi Lazcano, Fructuoso",Oñati,Bilbo,1937-07-22,Fusilado / Fusilatua
"Abio Achurra, Policarpo",Mundaka,Legutio,1936-12-12,Muerto frente / Frontean hila
"Abrahin Martin, Francisco",Leioa,Bilbo,1937-11-10,Fusilado / Fusilatua
"Abrionabarrenechea, Sinforoso",,,1937-05-15,Muerto frente / Frontean hila
"Abrisqueta Bilbao, Jeronimo",Zaratamo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Aburto Renovales, Jose Luis",Getxo,,1937-04-27,Muerto frente / Frontean hila
"Acebal Alcubilla, Domingo",La Arboleda,Lasarte,1936-09-09,Muerto frente / Frontean hila
"Acebal Zaballa, Manuel",Barakaldo,Abadiano,1937-04-20,Muerto frente / Frontean hila
"Acebedo Barrero, Casimiro",Oliva De Merida,Prision Orduña,1941-03-05,Muerto prisión / Espetxean hila
"Acebes Azurmendi, Jesus",,,,Muerto frente / Frontean hila
"Acedo Barbarin, Manuel",Nafarroa,Ordizia,1936-07-30,Muerto frente / Frontean hila
"Acedo Barbarin, Teofilo",Donostia,Ordizia,,Desaparecido / Desagertua
"Acedo Camara, Andres",San Salvador Del Valle,Legutio,1936-12-12,Muerto frente / Frontean hila
"Acedo Delgado, Lazaro",Hornachos,Prision Orduña,1941-03-29,Muerto prisión / Espetxean hila
"Acedo Galarza, Antonio",,,,Muerto frente / Frontean hila
"Aceña Miguel, Julian",,Mungia,1937-05-14,Muerto frente / Frontean hila
